case_id,date,store_id,sku_id,severity,demand_anomaly_score,shrinkage_score,root_cause,agent_action,human_required
CASE00570,2026-02-03,STORE03,SKU025,0.607,0.172,0.691,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00571,2026-02-03,STORE03,SKU026,0.523,0.739,0.346,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00572,2026-02-03,STORE03,SKU029,0.9,0.473,0.977,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00573,2026-02-03,STORE04,SKU096,0.38,0.334,0.418,expired_disposal,Check disposal log before replenishment.,0
CASE00574,2026-02-03,STORE05,SKU033,0.801,0.709,0.604,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00575,2026-02-03,STORE05,SKU093,0.488,0.492,0.484,expired_disposal,Check disposal log before replenishment.,0
CASE00576,2026-02-04,STORE01,SKU005,0.33,0.183,0.45,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00577,2026-02-04,STORE01,SKU010,0.775,0.632,0.619,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00578,2026-02-04,STORE01,SKU022,0.725,0.34,0.768,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00579,2026-02-04,STORE01,SKU041,0.821,0.846,0.8,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00580,2026-02-04,STORE01,SKU067,0.55,0.325,0.461,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00581,2026-02-04,STORE01,SKU072,0.8,0.587,0.701,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00582,2026-02-04,STORE01,SKU075,0.886,0.758,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00583,2026-02-04,STORE02,SKU016,0.842,0.793,0.61,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00584,2026-02-04,STORE02,SKU038,1.038,0.764,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00585,2026-02-04,STORE02,SKU040,0.402,0.306,0.481,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00586,2026-02-04,STORE02,SKU059,0.422,0.32,0.506,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00587,2026-02-04,STORE02,SKU067,0.703,0.757,0.659,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00588,2026-02-04,STORE03,SKU036,0.653,0.567,0.451,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00589,2026-02-04,STORE03,SKU073,0.459,0.251,0.63,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00590,2026-02-04,STORE03,SKU077,0.682,0.84,0.553,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00591,2026-02-04,STORE03,SKU087,0.854,0.9,0.543,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00592,2026-02-04,STORE03,SKU095,0.692,0.791,0.339,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00593,2026-02-04,STORE04,SKU011,0.417,0.468,0.375,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00594,2026-02-04,STORE04,SKU050,0.33,0.336,0.325,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00595,2026-02-04,STORE05,SKU034,0.847,0.678,0.712,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00596,2026-02-04,STORE05,SKU042,0.702,0.649,0.472,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00597,2026-02-04,STORE05,SKU060,0.821,0.825,0.545,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00598,2026-02-04,STORE05,SKU075,0.396,0.271,0.498,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00599,2026-02-04,STORE05,SKU080,0.608,0.684,0.546,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00600,2026-02-04,STORE05,SKU098,0.725,0.418,0.703,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00601,2026-02-04,STORE05,SKU099,0.588,0.649,0.265,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00602,2026-02-05,STORE01,SKU005,0.251,0.117,0.36,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00603,2026-02-05,STORE01,SKU009,0.726,0.6,0.557,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00604,2026-02-05,STORE01,SKU018,0.739,0.949,0.568,camera_error,Re-run CV from alternate snapshot and lower confidence.,1
CASE00605,2026-02-05,STORE01,SKU045,0.648,0.23,0.99,expired_disposal,Check disposal log before replenishment.,0
CASE00606,2026-02-05,STORE01,SKU097,0.474,0.388,0.545,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00607,2026-02-05,STORE02,SKU042,0.684,0.422,0.899,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00608,2026-02-05,STORE02,SKU051,0.384,0.496,0.292,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00609,2026-02-05,STORE03,SKU026,0.672,0.704,0.646,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00610,2026-02-05,STORE03,SKU029,0.636,0.203,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00611,2026-02-05,STORE03,SKU060,0.762,0.15,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00612,2026-02-05,STORE03,SKU072,0.465,0.33,0.576,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00613,2026-02-05,STORE03,SKU075,0.912,0.484,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00614,2026-02-05,STORE03,SKU088,0.784,0.786,0.51,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00615,2026-02-05,STORE03,SKU091,1.111,0.925,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00616,2026-02-05,STORE04,SKU008,0.711,0.498,0.886,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00617,2026-02-05,STORE04,SKU029,0.794,0.681,0.614,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00618,2026-02-05,STORE04,SKU070,0.776,0.181,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00619,2026-02-05,STORE05,SKU007,0.347,0.117,0.536,expired_disposal,Check disposal log before replenishment.,0
CASE00620,2026-02-05,STORE05,SKU022,0.951,0.569,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00621,2026-02-06,STORE01,SKU004,0.765,0.842,0.43,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00622,2026-02-06,STORE01,SKU005,0.445,0.4,0.482,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00623,2026-02-06,STORE01,SKU042,0.459,0.342,0.555,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00624,2026-02-06,STORE01,SKU060,0.707,0.503,0.602,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00625,2026-02-06,STORE01,SKU097,0.504,0.355,0.625,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00626,2026-02-06,STORE02,SKU004,0.932,0.674,0.87,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00627,2026-02-06,STORE02,SKU008,0.405,0.199,0.573,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00628,2026-02-06,STORE02,SKU095,0.756,0.489,0.702,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00629,2026-02-06,STORE03,SKU013,0.713,0.423,0.677,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00630,2026-02-06,STORE03,SKU019,0.635,0.202,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00631,2026-02-06,STORE03,SKU020,0.338,0.209,0.444,expired_disposal,Check disposal log before replenishment.,0
CASE00632,2026-02-06,STORE04,SKU042,0.852,0.684,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00633,2026-02-06,STORE04,SKU052,0.754,0.797,0.446,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00634,2026-02-06,STORE04,SKU064,0.577,0.483,0.654,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00635,2026-02-06,STORE04,SKU084,0.695,0.75,0.378,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00636,2026-02-06,STORE04,SKU086,0.665,0.845,0.518,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00637,2026-02-06,STORE05,SKU019,0.506,0.669,0.372,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00638,2026-02-06,STORE05,SKU023,0.45,0.483,0.423,expired_disposal,Check disposal log before replenishment.,0
CASE00639,2026-02-06,STORE05,SKU042,0.472,0.106,0.498,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00640,2026-02-06,STORE05,SKU092,0.82,0.408,0.885,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00641,2026-02-07,STORE01,SKU002,0.474,0.381,0.55,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00642,2026-02-07,STORE01,SKU017,0.821,0.927,0.462,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00643,2026-02-07,STORE01,SKU027,0.513,0.39,0.614,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00644,2026-02-07,STORE01,SKU028,1.025,0.735,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00645,2026-02-07,STORE01,SKU050,0.343,0.392,0.302,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00646,2026-02-07,STORE01,SKU073,0.425,0.379,0.463,expired_disposal,Check disposal log before replenishment.,0
CASE00647,2026-02-07,STORE01,SKU098,0.864,0.667,0.753,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00648,2026-02-07,STORE02,SKU005,0.539,0.329,0.711,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00649,2026-02-07,STORE02,SKU029,0.856,0.908,0.54,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00650,2026-02-07,STORE02,SKU032,0.525,0.16,0.824,expired_disposal,Check disposal log before replenishment.,0
CASE00651,2026-02-07,STORE02,SKU057,0.927,0.82,0.742,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00652,2026-02-07,STORE02,SKU082,0.741,0.847,0.654,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00653,2026-02-07,STORE03,SKU013,0.749,0.188,0.935,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00654,2026-02-07,STORE03,SKU045,0.633,0.228,0.691,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00655,2026-02-07,STORE03,SKU050,0.8,0.486,0.784,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00656,2026-02-07,STORE03,SKU068,0.515,0.833,0.254,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00657,2026-02-07,STORE03,SKU100,0.467,0.613,0.348,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00658,2026-02-07,STORE04,SKU041,0.587,0.144,0.677,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00659,2026-02-07,STORE04,SKU045,0.716,0.382,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00660,2026-02-07,STORE05,SKU010,0.824,0.287,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00661,2026-02-07,STORE05,SKU031,0.843,0.518,0.837,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00662,2026-02-07,STORE05,SKU033,0.969,0.791,0.841,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00663,2026-02-07,STORE05,SKU074,0.444,0.259,0.596,expired_disposal,Check disposal log before replenishment.,0
CASE00664,2026-02-07,STORE05,SKU090,0.482,0.725,0.283,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00665,2026-02-08,STORE01,SKU075,0.965,0.935,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00666,2026-02-08,STORE02,SKU073,0.507,0.269,0.429,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00667,2026-02-08,STORE03,SKU018,0.662,0.768,0.575,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00668,2026-02-08,STORE03,SKU027,0.679,0.403,0.905,expired_disposal,Check disposal log before replenishment.,0
CASE00669,2026-02-08,STORE04,SKU038,0.593,0.717,0.492,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00670,2026-02-08,STORE04,SKU045,0.7,0.705,0.695,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00671,2026-02-08,STORE05,SKU028,0.804,0.688,0.898,expired_disposal,Check disposal log before replenishment.,1
CASE00672,2026-02-08,STORE05,SKU031,0.843,0.914,0.512,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00673,2026-02-08,STORE05,SKU061,0.831,0.304,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00674,2026-02-08,STORE05,SKU075,0.714,0.649,0.495,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00675,2026-02-08,STORE05,SKU076,0.909,0.801,0.725,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00676,2026-02-08,STORE05,SKU086,0.29,0.178,0.382,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00677,2026-02-08,STORE05,SKU099,0.404,0.455,0.362,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00678,2026-02-09,STORE01,SKU004,0.805,0.928,0.431,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00679,2026-02-09,STORE01,SKU061,0.566,0.769,0.4,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00680,2026-02-09,STORE01,SKU066,0.521,0.563,0.487,expired_disposal,Check disposal log before replenishment.,0
CASE00681,2026-02-09,STORE02,SKU009,0.787,0.79,0.785,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00682,2026-02-09,STORE02,SKU022,0.636,0.204,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00683,2026-02-09,STORE03,SKU073,0.379,0.378,0.379,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00684,2026-02-09,STORE04,SKU017,1.021,0.725,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00685,2026-02-09,STORE04,SKU037,0.802,0.692,0.619,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00686,2026-02-09,STORE04,SKU047,0.469,0.615,0.349,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00687,2026-02-09,STORE04,SKU072,0.302,0.255,0.34,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00688,2026-02-09,STORE05,SKU006,0.54,0.641,0.458,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00689,2026-02-09,STORE05,SKU028,0.783,0.687,0.589,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00690,2026-02-10,STORE01,SKU037,0.657,0.25,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00691,2026-02-10,STORE01,SKU090,1.01,0.701,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00692,2026-02-10,STORE02,SKU019,0.447,0.3,0.567,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00693,2026-02-10,STORE02,SKU023,0.916,0.808,0.732,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00694,2026-02-10,STORE02,SKU047,0.848,0.674,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00695,2026-02-10,STORE03,SKU002,0.69,0.372,0.678,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00696,2026-02-10,STORE03,SKU031,0.474,0.107,0.501,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00697,2026-02-10,STORE03,SKU062,0.784,0.804,0.495,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00698,2026-02-10,STORE03,SKU080,0.48,0.3,0.627,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00699,2026-02-10,STORE03,SKU081,0.556,0.752,0.395,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00700,2026-02-10,STORE04,SKU005,0.329,0.367,0.298,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00701,2026-02-10,STORE04,SKU051,0.499,0.413,0.296,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00702,2026-02-10,STORE04,SKU071,0.731,0.753,0.441,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00703,2026-02-10,STORE05,SKU006,0.506,0.696,0.351,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00704,2026-02-10,STORE05,SKU054,0.506,0.215,0.745,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00705,2026-02-10,STORE05,SKU079,0.882,0.426,0.982,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00706,2026-02-10,STORE05,SKU097,0.858,0.364,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00707,2026-02-11,STORE01,SKU064,0.495,0.642,0.375,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00708,2026-02-11,STORE01,SKU084,0.315,0.24,0.377,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00709,2026-02-11,STORE01,SKU086,0.814,0.918,0.728,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00710,2026-02-11,STORE02,SKU011,0.81,0.486,0.802,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00711,2026-02-11,STORE02,SKU014,0.864,0.92,0.545,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00712,2026-02-11,STORE02,SKU093,0.527,0.255,0.476,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00713,2026-02-11,STORE03,SKU005,0.739,0.72,0.754,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00714,2026-02-11,STORE03,SKU008,0.858,0.697,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00715,2026-02-11,STORE03,SKU015,0.897,0.45,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00716,2026-02-11,STORE03,SKU024,0.721,0.242,0.84,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00717,2026-02-11,STORE03,SKU054,0.934,0.94,0.656,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00718,2026-02-11,STORE03,SKU085,0.383,0.466,0.315,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00719,2026-02-11,STORE03,SKU093,0.724,0.517,0.621,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00720,2026-02-11,STORE03,SKU096,0.885,0.834,0.927,expired_disposal,Check disposal log before replenishment.,1
CASE00721,2026-02-11,STORE03,SKU100,0.723,0.399,0.716,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00722,2026-02-11,STORE04,SKU003,0.649,0.591,0.423,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00723,2026-02-11,STORE04,SKU026,0.544,0.233,0.525,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00724,2026-02-11,STORE04,SKU094,0.789,0.735,0.561,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00725,2026-02-11,STORE05,SKU042,0.441,0.318,0.541,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00726,2026-02-11,STORE05,SKU049,0.646,0.321,0.64,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00727,2026-02-11,STORE05,SKU065,0.565,0.699,0.455,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00728,2026-02-11,STORE05,SKU066,0.594,0.859,0.378,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00729,2026-02-11,STORE05,SKU070,0.748,0.453,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00730,2026-02-12,STORE01,SKU062,0.513,0.21,0.488,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00731,2026-02-12,STORE01,SKU068,0.676,0.457,0.583,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00732,2026-02-12,STORE01,SKU075,0.624,0.691,0.296,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00733,2026-02-12,STORE02,SKU007,0.543,0.39,0.395,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00734,2026-02-12,STORE02,SKU016,0.862,0.827,0.617,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00735,2026-02-12,STORE02,SKU017,0.592,0.132,0.696,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00736,2026-02-12,STORE02,SKU068,0.771,0.728,0.533,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00737,2026-02-12,STORE02,SKU090,0.511,0.173,0.515,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00738,2026-02-12,STORE03,SKU002,0.711,0.95,0.515,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00739,2026-02-12,STORE03,SKU027,0.678,0.775,0.598,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00740,2026-02-12,STORE04,SKU047,0.35,0.317,0.377,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00741,2026-02-12,STORE04,SKU078,0.762,0.199,0.95,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00742,2026-02-12,STORE05,SKU015,0.717,0.862,0.326,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00743,2026-02-12,STORE05,SKU054,0.623,0.188,0.707,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00744,2026-02-12,STORE05,SKU068,0.606,0.89,0.374,expired_disposal,Check disposal log before replenishment.,0
CASE00745,2026-02-12,STORE05,SKU095,0.762,0.452,0.742,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00746,2026-02-13,STORE01,SKU004,0.571,0.271,0.543,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00747,2026-02-13,STORE01,SKU021,0.961,0.948,0.972,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00748,2026-02-13,STORE01,SKU043,0.444,0.278,0.579,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00749,2026-02-13,STORE01,SKU099,0.657,0.847,0.502,expired_disposal,Check disposal log before replenishment.,0
CASE00750,2026-02-13,STORE02,SKU042,0.398,0.454,0.352,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00751,2026-02-13,STORE02,SKU058,1.0,0.68,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00752,2026-02-13,STORE02,SKU078,0.642,0.714,0.311,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00753,2026-02-13,STORE02,SKU087,1.118,0.941,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00754,2026-02-13,STORE02,SKU092,0.613,0.875,0.399,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00755,2026-02-13,STORE03,SKU023,0.604,0.536,0.66,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00756,2026-02-13,STORE04,SKU005,0.745,0.871,0.37,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00757,2026-02-13,STORE04,SKU025,0.385,0.156,0.572,expired_disposal,Check disposal log before replenishment.,0
CASE00758,2026-02-13,STORE04,SKU056,0.52,0.464,0.565,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00759,2026-02-13,STORE04,SKU093,0.604,0.694,0.53,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00760,2026-02-13,STORE05,SKU028,0.753,0.607,0.6,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00761,2026-02-13,STORE05,SKU050,0.563,0.308,0.772,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00762,2026-02-14,STORE01,SKU022,0.701,0.347,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00763,2026-02-14,STORE01,SKU074,0.678,0.297,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00764,2026-02-14,STORE01,SKU095,0.64,0.564,0.43,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00765,2026-02-14,STORE02,SKU046,0.527,0.22,0.505,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00766,2026-02-14,STORE02,SKU066,0.958,0.633,0.951,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00767,2026-02-14,STORE03,SKU045,0.56,0.833,0.337,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00768,2026-02-14,STORE03,SKU073,0.634,0.159,0.749,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00769,2026-02-14,STORE04,SKU045,0.494,0.468,0.516,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00770,2026-02-14,STORE04,SKU066,0.814,0.639,0.685,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00771,2026-02-14,STORE04,SKU086,0.53,0.667,0.418,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00772,2026-02-14,STORE04,SKU099,0.239,0.187,0.282,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00773,2026-02-14,STORE05,SKU001,0.494,0.712,0.316,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00774,2026-02-14,STORE05,SKU002,0.756,0.136,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00775,2026-02-14,STORE05,SKU016,0.862,0.822,0.622,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00776,2026-02-14,STORE05,SKU021,0.487,0.636,0.365,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00777,2026-02-14,STORE05,SKU057,0.772,0.715,0.818,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00778,2026-02-14,STORE05,SKU098,0.754,0.413,0.761,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00779,2026-02-15,STORE01,SKU004,0.617,0.722,0.531,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00780,2026-02-15,STORE01,SKU026,0.569,0.32,0.772,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00781,2026-02-15,STORE01,SKU058,0.301,0.301,0.301,expired_disposal,Check disposal log before replenishment.,0
